eV,fuel,nonfuel
2.00E+07,5.60E+12,5.34E+12
4.30E+06,3.62E+13,3.48E+13
1.20E+06,1.88E+13,1.82E+13
6.70E+05,2.38E+13,2.31E+13
2.70E+05,2.56E+13,2.52E+13
5.20E+04,2.38E+13,2.38E+13
3.90E+03,1.11E+13,1.12E+13
9.50E+02,1.17E+13,1.19E+13
1.86E+02,6.20E+12,6.36E+12
7.20E+01,2.56E+12,2.66E+12
4.70E+01,1.59E+12,1.73E+12
3.46E+01,2.81E+12,2.99E+12
2.00E+01,2.84E+12,2.95E+12
1.15E+01,3.19E+12,3.50E+12
5.40E+00,2.80E+12,2.90E+12
2.87E+00,1.91E+12,1.93E+12
1.94E+00,2.16E+12,2.19E+12
1.25E+00,6.17E+11,6.40E+11
1.09E+00,5.04E+11,5.21E+11
9.75E-01,2.28E+12,2.35E+12
6.00E-01,3.77E+12,3.99E+12
2.50E-01,6.39E+12,7.12E+12
6.00E-02,3.44E+12,4.39E+12
2.50E-03,7.25E+09,1.92E+10